mammal,5,3408031,"mammals,ungulate,mammale,mammalian,cetancodont,mammal_(species),panda_panda,feralmammal,cetancodontamorph,cetancodont,mammel,mammmal,mamal"
anthro,0,3349981,"anthromorph,anthropomorph,anthropomorphic,anthromorphic,antro,anhtro,antrho,anthros,unguligrade_anthro,anthrofur,anthro_only,anthroart,furry_anthro,furryanthro,anthro_on_non-humanoid_creature,adult_anthro,anthro_student,anthro_teacher,anthro_kissing,anthro_kissed,anthro_horse,anthro_reptile,antho"
hi_res,7,3083301,"high_res,highres,hires,high-res,hi-res,high_resolution,hd,high_definition,hi_def,hi_resolution,1080p"
female,0,2559185,"woman,bitch,girl,2girls,3girls,4girls,shewolf,multiple_girls,many_girls,girls,fembeast,1girl,babes,females,f/solo,female_solo,female/solo,multiple_females,women,fsolo,gen:female,3_girls,2_girls,4_girls,four_girls,three_girls,two_girls,two_girl,three_girl,four_girl,2_girl,3_girl,4_girl,4girl,3girl,2girl,1_girl,one_girl,solo_female,bad_girl,babe,feamle,female_only,all_female,femael,doe,female_on_monster,7girls,feral_female,female_feral,f,5_girls,femalefur,females_only,1girls,female_wolf,bunny_girl,fmale,furry_sona_female,female_non-humanoid_creature,female_cat,furry_female,furryfemale,gal,adult_female,female_student,female_teacher,female_kissing,best_girl,female_accomplice,female_dry_humping_male,female_rimming_ambiguous,female_dominating_anthro,single_female"
male,0,2516898,"boi,2guys,3guys,4guys,5guys,guy,boy,man,males,boys,1boy,1guy,men,m/solo,male_solo,male/solo,3boys,2boys,guys,male_only,multiple_boys,multiple_guys,solo_male,multiple_males,bishonen,msolo,gen:male,4boys,4_boys,3_boys,2_boys,two_boys,three_boys,four_boys,four_guys,three_guys,two_guys,one_guy,one_boy,1_boy,4_guys,3_guys,2_guys,1_guys,male_focus,sole_male,5boys,1male,feral_male,male_feral,m,malefur,males_only,big_boy,solo/male,male_ass,bunny_boy,male_on_monster,male_on_robot,male_non-humanoid_creature,male_animal,furry_boys,dude,bad_boy,1boy1girl,adult_male,male_student,male_teacher,male_kissing_anthro,male_kissing,male_kissed,gay_male,only_male,furry_male,male_werewolf,only_man,male_rimming_ambiguous,male_rimming_feral,single_male,male_top_anthro_bottom"
solo,0,2340865,"alone,single,solo_in_panel"
genitals,0,2270314,"male_genetalia,genitalia,male_genitalia,external_sex_organ,external_sex_organs,genital,female_genitalia,male_genitals,female_genitals,male_genital,female_genital,gonads,private_part,private_parts,privates,genitals.,copy-paste_genitalia,copy_paste_genitalia,reasonably_sized_genitals,human/animal_genitalia,exposed_genitalia,exposed_genital,exposed_genitals,gentials,genetalia,genita"
clothing,0,2077675,"clothes,cloths,suit,(clothing),traditional_clothing,girly_clothing,cloting,cute_clothing,clothings,cothes"
hair,0,1771713,"colorful_hair,hairstyle,hair_style,neon_hair,anime_hair,girly_hair,stylish_hair,gair,hairdo"
breasts,0,1749551,"tits,boob,boobs,boobie,breast,breats,titties,boobies,average_breasts,nockers,oppai,breasts_outside,pechos,tetas,massive_breasts,brests,torpedo_tits,tiddies,2_breasts,wandering_boob,titty,tiddy,tittie,tiddie,inherited_breasts,chest_breasts,bosom,brest"
